id,domanda,risposta_a,risposta_b,risposta_c,risposta_d,corretta,macrocategoria,is_situazionale,efficace_alta,efficace_neutra,efficace_bassa,created_at,deleted_globally,risposta_e
1778836982356-47,"Un partner esterno coinvolto nel processo segnala di non poter rispettare una scadenza importante, mettendo a rischio il progetto. Come riorganizzi il processo?","Rivedo la pianificazione del progetto e cerco di adattare le altre attività per compensare il ritardo. Rimango in contatto con il partner per monitorare l'evoluzione e cerco di minimizzare le conseguenze, inoltre, mi adopero nel ricercare un fornitore alternativo.","Accetto e comunico ai miei superiori il ritardo del partner senza però modificare drasticamente il processo, aspettando che la situazione si evolva per valutare, pur sapendo che potrebbe compromettere il progetto.","Contatto il partner per capire i dettagli del ritardo e cerco di negoziare una nuova scadenza. Nel frattempo, riorganizzo le risorse interne per ridurre l'impatto del ritardo e cerco un fornitore di backup per ultimare il progetto.",,,Situazionali,true,A,C,B,2026-05-15 21:10:33.313064,false,
1778836982356-48,"Ti viene offerto un progetto che richiede competenze che non possiedi completamente, ma potresti imparare. Accetti la sfida? Come ti prepareresti?","Accetto la sfida, programmando un percorso di apprendimento per acquisire le competenze mancanti e chiedendo supporto a colleghi esperti.","Accetto il progetto senza un piano preciso e dettagliato, cercando di imparare strada facendo.","Accetto il progetto, ma chiedo del tempo aggiuntivo prima di iniziare a lavorare.",,,Situazionali,true,A,C,B,2026-05-15 21:10:33.313064,false,
1778837350935-1,"A norma del disposto di cui al co. 5, art. 18, d.lgs. n. 36/2023, se la stipulazione del contratto non avviene nel termine fissato, per fatto della stazione appaltante, l'aggiudicatario può sciogliersi da ogni vincolo?","Si, mediante atto notificato alla stazione appaltante.","No, in tal caso il termine viene prorogato di diritto per ulteriori trenta giorni.","Si, salvo che la stazione appaltante non richieda il differimento del termine per la stipulazione del contratto.",,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350935-2,"Per espressa previsione di cui all'art. 13, par. 1, TUE oltre al Parlamento europeo, quali sono le altre istituzioni dell'Unione?","Consiglio europeo, Consiglio, Commissione europea, Corte di giustizia dell'Ue, Banca centrale europea, Corte dei conti.","Consiglio europeo, Commissione europea, Corte di giustizia dell'Ue, Banca centrale europea, Corte dei conti.","Consiglio europeo, Consiglio, Commissione europea, Corte di giustizia dell'Ue, Banca centrale europea, Corte dei conti, COREPER.",,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350935-3,"Con riferimento al termine dilatorio, il co. 3, art. 18, d.lgs. n. 36/2023 dispone che il contratto non può comunque essere stipulato:",Prima di venti giorni dall'invio dell'ultima delle comunicazioni del provvedimento di aggiudicazione.,Prima di trentacinque giorni dall'invio dell'ultima delle comunicazioni del provvedimento di aggiudicazione.,Prima di sessanta giorni dall'invio dell'ultima delle comunicazioni del provvedimento di aggiudicazione.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350935-4,La direttiva (art. 288 TFUE):,Diversamente dal regolamento e dalla decisione non produce nessun effetto obbligatorio.,"Vincola lo Stato membro cui è rivolta per quanto riguarda il risultato da raggiungere, salva restando la competenza degli organi nazionali in merito alla forma e ai mezzi.","È obbligatoria in tutti i suoi elementi. Se designa i destinatari, è obbligatoria soltanto nei confronti di questi.",,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350935-5,"L'accesso generalizzato (co. 2, art. 5, D.Lgs. n. 33/2013):",È un istituto distinto dall'accesso ai documenti amministrativi.,Ha come finalità quella di porre i soggetti interessati in grado di esercitare al meglio le facoltà - partecipative e/o oppositive e difensive - che l'ordinamento attribuisce loro a tutela delle posizioni giuridiche qualificate di cui sono titolari.,Non incontra come limiti il rispetto della tutela degli interessi pubblici e/o privati e il rispetto delle norme che prevedono specifiche esclusioni.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350935-6,"1) Pubblico ufficiale o persona incaricata di un pubblico servizio, che, violando i doveri inerenti alle funzioni o al servizio, o comunque abusando della sua qualità, rivela notizie d'ufficio, le quali debbano rimanere segrete, o ne agevola in qualsiasi modo la conoscenza. 2) Pubblico ufficiale o persona incaricata di un pubblico servizio, che, violando i doveri inerenti alle funzioni o al servizio, o comunque abusando della sua qualità, agevola colposamente la conoscenza, da parte di terzi incompetenti a conoscere notizie d'ufficio che debbono rimanere segrete. Quale/quali delle citate situazioni configurano il delitto di Rivelazione ed utilizzazione di segreti di ufficio di cui all'art. 326 del c.p.?",Nessuna.,Solo la situazione 1).,Entrambe.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-10,"Nella contabilità pubblica, i c.d. “residui attivi” assolutamente inesigibili:","Vengono eliminati dalle scritture contabili con decreto ministeriale, al termine di apposito procedimento amministrativo. Tali decreti sono registrati dalla Ragioneria Generale dello Stato.","Vengono eliminati dalle scritture contabili con decreto ministeriale, al termine di apposito procedimento amministrativo. Tali decreti sono registrati dalla Corte dei Conti.","Vengono eliminati dalle scritture contabili con decreto ministeriale, al termine di apposito procedimento amministrativo. Tali decreti sono registrati dalla Tesoreria dello Stato.",,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-11,"Nell’ambito della variazione del rapporto tra debito e Prodotto Interno Lordo (PIL), cosa si intende con l’espressione “effetto valanga” (o “snowball effect”)?",Si tratta dell’effetto sulla variazione del rapporto Debito/Pil attribuibile alla differenza tra tasso di decrescita del PIL e del tasso di interesse nominali.,Si tratta dell’effetto sulla variazione del rapporto Debito/Pil attribuibile alla differenza tra tasso di crescita del PIL e del tasso di interesse nominali.,Si tratta dell’effetto sulla variazione del rapporto Debito/Pil attribuibile alla differenza tra tasso di crescita del Pil e del tasso di interesse non nominale.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-12,"La seconda sezione del Documento di Economia e Finanza, contiene un'indicazione delle previsioni a politiche invariate per i principali aggregati del conto economico delle amministrazioni pubbliche riferite:",Almeno al solo anno corrente.,Almeno al triennio successivo.,Almeno al quadriennio successivo.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-13,Cosa si intende per “classificazione economica del bilancio”?,Si tratta della classificazione delle entrate e delle uscite del bilancio pubblico in cui le voci sono articolate a prescindere dalla natura economica delle stesse.,Si tratta della classificazione delle entrate del bilancio pubblico in cui le voci sono articolate a seconda della natura economica delle stesse. La classificazione delle uscite del bilancio pubblico non può avvenire valutando la natura economica delle stesse.,Si tratta della classificazione delle entrate e delle uscite del bilancio pubblico in cui le voci sono articolate a seconda della natura economica delle stesse.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-14,"Il D.Lgs. 30/03/2001, n. 165, recante Norme generali sull'ordinamento del Lavoro alle dipendenze delle amministrazioni pubbliche, stabilisce che le disposizioni dell'art. 5, relativo al potere di organizzazione:",si applicano anche alle società miste a prevalente capitale pubblico.,non si applicano alle Autorità amministrative indipendenti ed alle società miste a prevalente capitale privato.,si applicano anche alle Autorità amministrative indipendenti.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-15,"A norma dell'art. 2 del decreto legislativo n. 286/1999, il controllo interno di regolarità amministrativa e contabile nelle pubbliche amministrazioni:",Non comprende verifiche da effettuarsi in via preventiva se non nei casi espressamente previsti dalla legge.,Non comprende verifiche da effettuarsi in via successiva se non nei casi espressamente previsti dalla legge.,"Comprende verifiche da effettuarsi sia in via preventiva che in via successiva, in base ai sistemi previsti dalle pubbliche amministrazioni nell'ambito della rispettiva autonomia.",,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-16,"Ai sensi dell'art. 7 del decreto legislativo n. 150/2009, è corretto affermare che la funzione di misurazione e valutazione delle performance è svolta anche dai cittadini o dagli altri utenti finali?","No, è svolta solo dai dirigenti di ciascuna amministrazione.","Sì, in rapporto alla qualità dei servizi resi dall'amministrazione, partecipando alla valutazione della performance organizzativa dell'amministrazione.","No, è svolta solo dagli Organismi indipendenti di valutazione.",,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-17,"La legge 20/1994 stabilisce che nel giudizio di responsabilità dei soggetti sottoposti alla giurisdizione della Corte dei Conti in materia di contabilità pubblica, qualora la prescrizione del diritto al risarcimento sia maturata a causa di omissione o ritardo della denuncia del fatto, l'azione nei confronti dei soggetti che hanno omesso o ritardato la denuncia è proponibile:",Entro sette anni dalla data dalla data di commissione del fatto dannoso.,Entro tre anni dalla data in cui la prescrizione è maturata.,Entro cinque anni dalla data in cui la prescrizione è maturata.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-18,"Fermo restando gli ulteriori obblighi e le conseguenti ipotesi di responsabilità disciplinare dei pubblici dipendenti previsti da norme di legge, di regolamento o dai contratti collettivi, la violazione degli obblighi previsti dal Codice di comportamento dei dipendenti pubblici (art. 16, D.P.R. n. 62/2013):",È fonte di responsabilità disciplinare accertata all'esito del procedimento disciplinare.,Non può dar luogo anche a responsabilità penale.,Non può dar luogo anche a responsabilità civile.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-19,"In base alla legge 20 n. /1994, la responsabilità dei soggetti sottoposti alla giurisdizione della Corte dei conti in materia di contabilità pubblica:","È personale e si estende ai fatti ed alle omissioni commessi anche con colpa lieve, ferma restando l'insindacabilità nel merito delle scelte discrezionali.","È personale e limitata ai fatti ed alle omissioni commessi con dolo o con colpa grave, ferma restando l'insindacabilità nel merito delle scelte discrezionali.",È personale e si estende anche alle scelte discrezionali di merito.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-20,"Con riferimento ai rapporti fra procedimento disciplinare e procedimento penale (art. 55-ter, TUPI), se il procedimento disciplinare si conclude con l'archiviazione ed il processo penale con una sentenza irrevocabile di condanna, l’ufficio competente per i procedimenti disciplinari:",Ha il potere discrezionale di riaprire o meno il procedimento disciplinare concluso.,Ha l'obbligo di riaprire il procedimento disciplinare solo nel caso in cui dall'esito del giudizio penale risulti che la sanzione disciplinare da applicare era il licenziamento senza preavviso.,Riapre il procedimento disciplinare per adeguare le determinazioni conclusive all'esito del giudizio penale.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-21,"È corretto affermare, ai sensi dell'art. 14 del decreto legislativo n. 300/1999 (Riforma dell'organizzazione del Governo), che sono attribuite al Ministero dell'interno le funzioni e i compiti spettanti allo Stato in materia, tra l'altro, di prevenzione incendi?","Sì, le funzioni e i compiti in materia di prevenzione incendi spettano esclusivamente al Ministero dell'interno.","Sì, salve le specifiche competenze in materia del Presidente del Consiglio dei Ministri.","No, le funzioni e i compiti in materia di prevenzione incendi spettano esclusivamente al Presidente del Consiglio dei Ministri.",,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-22,"A quale Dipartimento fa capo lo svolgimento delle funzioni e dei compiti spettanti al Ministero dell'interno per la promozione, sostegno e monitoraggio degli interventi a garanzia della legalità territoriale, ai sensi del D.P.R. n. 78/2019 (Regolamento recante l'organizzazione degli Uffici centrali di livello dirigenziale generale del Ministero dell'interno)?",Al Dipartimento della pubblica sicurezza.,Al Dipartimento per le libertà civili e l'immigrazione.,Al Dipartimento per gli affari interni e territoriali.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-23,"Nel caso in cui non vengano assunte dai responsabili delle strutture amministrative periferiche dello Stato, nel termine indicato, le necessarie iniziative previste dall'articolo 11, comma 4, del decreto legislativo n. 300/1999, volte ad evitare un grave pregiudizio alla qualità dei servizi resi alla cittadinanza, il Prefetto può provvedere direttamente?","Sì, previa autorizzazione del Ministro dell'interno.","Sì, previo assenso del Ministro competente per materia e informandone preventivamente il Presidente del Consiglio dei Ministri.","No, deve sempre essere autorizzato dal Ministro competente per materia.",,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-24,"Nell'esercizio delle funzioni di coordinamento previste dall'articolo 11, commi 2 e 3, del decreto legislativo n. 300/1999, il Prefetto può richiedere ai responsabili delle strutture amministrative periferiche dello Stato, anche con interventi diretti, l'adozione di provvedimenti volti ad evitare un grave pregiudizio alla qualità dei servizi resi alla cittadinanza anche ai fini del rispetto della leale collaborazione con le autonomie territoriali?","No, può farlo solo con interventi diretti.",Sì.,"No, può richiedere l'adozione dei predetti provvedimenti solo in sede di conferenza provinciale permanente.",,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-25,"Tra le strutture organizzative del Ministero dell’interno rientrano i Dipartimenti i quali sono articolati in Direzioni generali e, a volta, anche in Uffici centrali, Uffici di diretta collaborazione con il Capo Dipartimento e Segreterie: presso quale Dipartimento è allocata la Direzione Centrale per i Servizi Demografici?",Dipartimento per la Pubblica sicurezza.,Dipartimento per gli Affari interni e territoriali.,Dipartimento per le Libertà civili e l'Immigrazione.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-26,Completare la seguente proporzione. Se milligrammo sta a peso allora è logico che ..?.. stia a ..?...,Oncia - capacità e volume.,Peso - decigrammo.,Miglio terrestre - lunghezza.,,C,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-27,Quale dei seguenti termini può essere inserito tra le parentesi assumendo un significato associabile sia al termine che precede che a quello che segue? Cavallo (...?...) Integratore.,Ferro.,Vapore.,Dieta.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-28,Nella famiglia Rossi sono tutti figli unici. Il figlio del nonno del padre del nipote di Damiano Rossi è:,Damiano Rossi.,Il padre di Damiano Rossi.,Il figlio di Damiano Rossi.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-29,"Se «Anna nelle occasioni importanti indossa un bellissimo abito a fiori» e «oggi è un'occasione importante», si può logicamente concludere che....",Non è possibile stabilire con certezza se oggi Anna indossa un abito a fiori.,Oggi Anna indossa sicuramente un bellissimo abito a fiori.,L'abito a fiori è sicuramente di Anna.,,B,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-30,Martedì - Venerdì = _______ come _______ = Mesi.,Giorni / Settembre - Dicembre.,Giorni / Anno.,Agosto - Novembre / Anni.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-31,"Chi ama la natura va in bicicletta. Tutti i ciclisti professionisti vanno in bicicletta. Mirella ama la natura. Se le precedenti affermazioni sono corrette, quale delle seguenti affermazioni NON rappresenta una conclusione corretta?",Non si può escludere che tutti i ciclisti professionisti amino la natura.,Tutti coloro che vanno in bicicletta amano la natura.,Mirella va in bicicletta.,,B,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-32,"Supponendo che: la distanza stradale tra Chieti e L'Aquila sia 128 km, tra L'Aquila e Pescara 120 km, tra Pescara e Teramo 66 km. Quanti km vengono percorsi da Chieti a Teramo?",Km 314.,Km 248.,Km 324.,,A,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-33,_____ sta a Insetto come Cinghiale sta a _____.,Scarabeo - Anfibio.,Tacchino - Mammifero.,Zanzara - Mammifero.,,C,Logica,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-34,"A norma del disposto di cui al co. 8, art. 33, d.lgs. n. 36/2023, le offerte che la stazione appaltante ha giudicato anormalmente basse sono considerate:",Inaccettabili.,Irregolari.,Inadeguate.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-35,"Chiunque, non adempiendo gli obblighi che gli derivano da un contratto di fornitura concluso con lo Stato, o con un altro ente pubblico, ovvero con un'impresa esercente servizi pubblici o di pubblica necessità, fa mancare, in tutto o in parte, cose od opere, che siano necessarie a uno stabilimento pubblico o ad un pubblico servizio commette il delitto di cui all'art. 355, c.p., ovvero:",Interruzione di un pubblico servizio.,Omissione di doveri d'ufficio.,Inadempimento di contratti di pubbliche forniture.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-36,"Le limitazioni di cui all’art. 32, comma 2, della Legge del 31 dicembre 2009, n. 196, in materia di esercizio provvisorio:",si intendono riferite sia alle autorizzazioni di impegno sia a quelle di pagamento.,si intendono riferite soltanto alle autorizzazioni di impegno e non a quelle di pagamento.,non si intendono riferite alle autorizzazioni di impegno o a quelle di pagamento.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-37,"Indicare quale/i delle seguenti affermazioni è/sono conforme/i al disposto dell'art. 6 del decreto legislativo n. 165/2001 relativo all'organizzazione degli uffici e ai fabbisogni di personale delle amministrazioni pubbliche: 1) Le amministrazioni pubbliche che non provvedono agli adempimenti di cui al predetto articolo non possono assumere nuovo personale; 2) Le amministrazioni pubbliche definiscono l'organizzazione degli uffici per le finalità indicate all'articolo 1, comma 1, del predetto decreto, adottando, in conformità al piano triennale dei fabbisogni di personale, gli atti previsti dai rispettivi ordinamenti, previa informazione sindacale, ove prevista nei contratti collettivi nazionali; 3) Nelle amministrazioni statali, il piano triennale dei fabbisogni di personale, adottato annualmente dall'organo di vertice, è approvato con decreto del Ministro competente, di concerto con il Ministro dell'economia e delle finanze.",La n. 1 e la n. 2.,La n. 1 e la n. 3.,Tutte le tre affermazioni.,,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-38,"A norma del disposto di cui all’art. 55-quinquies, TUPI, è prevista anche la reclusione per il lavoratore che, mediante l'alterazione dei sistemi di rilevamento della presenza o con altre modalità fraudolente, attesta falsamente la propria presenza in servizio?","Si, è prevista solo la reclusione.","No, è prevista la multa.","Si, è prevista sia la reclusione sia la multa.",,C,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-39,Argomento: struttura organizzativa del Ministero dell’interno a livello provinciale. La garanzia dell'ordine democratico è competenza:,Del Prefetto.,Del Sindaco della città con maggiore densità di popolazione.,Del Questore.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-7,In ordine al delitto di interruzione di un servizio pubblico o di pubblica necessità (art. 331 c.p.) è giuridicamente corretto affermare che:,La pena è della reclusione da tre a dieci anni.,"È volto a garantire la continuità dell'azione amministrativa rispetto a condotte, individuali o collettive, di abbandono, astensione, interruzione della propria attività da parte di chi esercita imprese di servizi pubblici o di pubblica necessità.",Le persone offese sono i soli cittadini che possono essere danneggiati.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-8,"Di quale delitto, di cui all'art. 317 c.p., sono propri il costringimento, la dazione o la promessa indebite?",Concussione.,Indebita percezione di erogazioni pubbliche.,Peculato.,,A,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837350936-9,Gli importi dei fondi speciali destinati alla copertura finanziaria di provvedimenti legislativi che si prevede siano approvati nel corso degli esercizi finanziari compresi nel bilancio pluriennale ed in particolare di quelli correlati al perseguimento degli obiettivi indicati nel Documento di Economia e Finanza (DEF):,Sono indicati nella seconda sezione della legge di bilancio.,Sono indicati nella prima sezione della legge di bilancio.,Sono indicati nella terza sezione della legge di bilancio.,,B,Diritto_Amministrativo,false,,,,2026-05-15 21:10:33.313064,false,
1778837357747-1,"Durante un’importante riunione, vieni criticato pubblicamente da un collega per una decisione presa. Come gestisci la situazione mantenendo professionalità e controllo emotivo?","Accetto la critica senza reagire emotivamente e offro una breve spiegazione delle mie scelte, proponendo di approfondire in privato.","Rimango in silenzio, evitando di rispondere immediatamente per non creare ulteriore tensione, rimandando il chiarimento ad un secondo momento.","Rispondo in modo calmo e professionale, spiegando le ragioni della mia decisione e proponendo di discutere eventuali divergenze in un incontro successivo per non deviare l'attenzione della riunione.",,,Situazionali,true,C,A,B,2026-05-15 21:10:33.313064,false,
1778837357747-2,"Come imposti una strategia per adattare i servizi pubblici all’evoluzione tecnologica, tenendo conto delle esigenze future dei cittadini?","Suggerisco l’adozione di tecnologie graduali basate su un'analisi delle priorità, con una particolare attenzione alla riduzione dei rischi legati all'implementazione.",Definisco una strategia di sviluppo tecnologico che tenga conto delle tendenze emergenti e delle esigenze future dei cittadini. Prevedo la formazione continua dei dipendenti e investimenti in infrastrutture tecnologiche.,"Adotto un approccio graduale, introducendo le tecnologie emergenti in base alla loro disponibilità. Credo che l'evoluzione tecnologica possa essere gestita con gli strumenti già presenti, senza dover pianificare cambiamenti radicali immediati.",,,Situazionali,true,B,A,C,2026-05-15 21:10:33.313064,false,
1778837357747-3,"Durante una presentazione davanti ai dirigenti, ti accorgi che il pubblico non sembra comprendere i concetti chiave che stai esponendo. Come adatti il tuo stile comunicativo per chiarire meglio le informazioni?","Chiedo ai dirigenti se ci sono aspetti poco chiari e fornisco ulteriori dettagli sui punti principali, cercando di non alterare troppo la struttura della presentazione.","Continuo con la presentazione come previsto, sperando che i dirigenti comprendano meglio i concetti nella seconda parte e lasciandogli modo di chiedere a fine presentazione.","Rivedo il mio approccio, semplifico il linguaggio e utilizzo esempi pratici per rendere i concetti più accessibili. Chiedo feedback durante la presentazione per verificare la comprensione.",,,Situazionali,true,C,A,B,2026-05-15 21:10:33.313064,false,
1778837357747-4,Stai gestendo un progetto che sembra richiedere più tempo del previsto per alcune attività chiave. Come affronti questa situazione?,"Proseguo secondo il piano originale, faccio pressione ai membri del team affinché rispettivo le scadenze imposte.",Analizzo le attività in ritardo e propongo al team di stabilire delle priorità per ridurre l’impatto sui tempi di consegna complessivi. Propongo anche di rinviare alcune scadenze secondarie.,Convoco un incontro con il team per rivedere le attività in ritardo e cercare soluzioni per accelerare il processo. Redistribuisco il lavoro se necessario e fornisco supporto per risolvere i problemi che hanno causato il ritardo.,,,Situazionali,true,C,B,A,2026-05-15 21:10:33.313064,false,
1778837357747-5,"In vista di un cambiamento normativo, intravedi la possibilità di anticipare una riforma amministrativa. Come agisci per portare avanti la tua idea?","Faccio una verifica dell’impatto della normativa e condivido le mie osservazioni con i superiori, suggerendo di considerare una possibile riforma a medio termine.","Propongo una revisione completa del processo interno, redigendo una relazione sui possibili impatti della nuova norma e suggerendo riforme che anticipano i possibili impatti organizzativi",Aspetto che la normativa venga implementata completamente prima di proporre eventuali modifiche ai processi interni.,,,Situazionali,true,B,A,C,2026-05-15 21:10:33.313064,false,
1778837357747-6,Ti viene assegnato un progetto particolarmente impegnativo e innovativo. Come ti comporti per proporre soluzioni innovative che possano migliorare l’efficacia del progetto?,"Procedo con le soluzioni già conosciute, evitando di proporre innovazioni che potrebbero comportare rischi o difficoltà nella gestione.","Analizzo le soluzioni tradizionali e le confronto con quelle innovative, proponendo solo le novità che ritengo sicure e applicabili al contesto amministrativo.","Studio a fondo nuove tecnologie o metodologie e propongo un piano innovativo per aumentare l’efficienza del progetto, testando le soluzioni proposte prima di implementarle.",,,Situazionali,true,C,B,A,2026-05-15 21:10:33.313064,false,
1778837357748-7,Un dipendente ha difficoltà a lavorare in team e preferisce attività individuali. Come lo aiuti ad adattarsi?,Organizzo sessioni di team building per migliorare la coesione del gruppo e assegno al dipendente ruoli collaborativi con obiettivi di gruppo per esercitare le sue abilità di lavoro di squadra.,Continuo ad assegnargli attività individuali senza tentare di migliorarne la capacità di lavorare in team.,"Assegno al dipendente qualche attività di gruppo occasionale per farlo adattare lentamente al lavoro di squadra, monitorando il suo comportamento.",,,Situazionali,true,A,C,B,2026-05-15 21:10:33.313064,false,
1778838526918-1,Un problema di malfunzionamento delle infrastrutture causa disagi ai cittadini. Come gestisci e risolvi la situazione?,"Coordino un intervento per riparare l’infrastruttura e comunico pubblicamente il problema, specificando le misure prese e fornendo una tempistica di ripristino.",Contatto i tecnici responsabili e chiedo una stima dei tempi di riparazione. Informo i cittadini delle cause del problema e suggerisco soluzioni temporanee.,"Contatto il team tecnico e gli affido il ripristino delle infrastrutture, confidando che si occuperà efficacemente del problema.",,,Situazionali,true,A,B,C,2026-05-15 21:10:33.313064,false,
1778838526918-2,Ricevi feedback negativo sulla tua capacità di lavorare in squadra. Come reagisci?,Cerco di essere più collaborativo nelle prossime attività di gruppo dando importanza ai feedback dei colleghi.,"Ascolto il feedback ma non mi rispecchio pienamente nelle critiche, quindi cerco di non dare troppo peso alla questione.",Chiedo ai membri del team specifiche aree di miglioramento e lavoro per migliorare la mia capacità collaborativa.,,,Situazionali,true,C,A,B,2026-05-15 21:10:33.313064,false,
1778838526918-3,Ti viene assegnata la gestione di un problema complesso che richiede il contributo di più uffici. Come coordineresti le diverse risorse per trovare una soluzione?,"Organizzo incontri regolari tra i vari uffici, definisco responsabilità chiare e metto in atto strumenti di comunicazione per monitorare i progressi e risolvere problemi tempestivamente.",Rispetto l'autonomia dei singoli uffici e lascio che si organizzino autonomamente e intervengo solo se mi segnalano dei problemi.,"Contatto i vari uffici e coordino i contributi individuali, raccogliendo periodicamente aggiornamenti per assicurare la coerenza del progetto.",,,Situazionali,true,A,C,B,2026-05-15 21:10:33.313064,false,
1778838526918-4,"Ti viene chiesto di migliorare l’efficienza di un dipartimento. Come individui i collegamenti tra le risorse disponibili, le procedure e le competenze del personale per ottimizzare i risultati?","Propongo di mantenere l’attuale organizzazione. Confido che l'esperienza e le competenze del personale portino gradualmente a miglioramenti autonomi: se così non sarà, pianificherò delle modifiche strutturali.","Analizzo le risorse e le competenze del personale, rivedo le procedure e riorganizzo le attività per sfruttare al massimo le competenze di ciascuno, prevedendo anche corsi di aggiornamento.",Suggerisco cambiamenti nelle procedure per migliorare l'efficienza e verifico se sono necessari aggiustamenti nelle assegnazioni delle competenze.,,,Situazionali,true,B,C,A,2026-05-15 21:10:33.313064,false,
1778838526918-5,"Durante un controllo interno, emergono diversi errori/incoerenze nei tuoi report. Come ti assicuri di risolvere la situazione rispettando gli standard e mantenendo la fiducia dell’amministrazione?","Correggo le discrepanze e cerco di non perdere troppo tempo nell'indagare sulla loro origine, comunicando il problema solo se richiesto: l'importante è risolvere la situazione.","Mi occupo di correggere le discrepanze, assicurandomi di non ripetere l’errore, e comunico ai superiori che la situazione è stata risolta.","Revisione immediata dei report, identifico e correggo le discrepanze, e implemento misure per evitare che il problema si ripeta in futuro, coinvolgendo il mio team nella soluzione.",,,Situazionali,true,C,B,A,2026-05-15 21:10:33.313064,false,
1778838526918-6,Un imprevisto ha messo a rischio il completamento di un progetto chiave per l'amministrazione. Cosa fai per modificare la tua strategia e garantire il successo?,"Procedo al meglio delle mie possibilità, cercando di minimizzare l'impatto dell'imprevisto senza apportare modifiche significative al piano originale.","Valuto subito l’impatto dell’imprevisto e propongo una nuova strategia, coinvolgendo il team e i superiori per adattarsi rapidamente e garantire il completamento del progetto.","Informo i superiori dell’imprevisto e chiedo il loro supporto per decidere una nuova strategia, aspettando conferma prima di apportare modifiche significative.",,,Situazionali,true,B,C,A,2026-05-15 21:10:33.313064,false,
1778838526918-7,Ti viene comunicato che alcune risorse fondamentali per il progetto sono state tagliate all'ultimo momento. Come gestisci la delusione e l’incertezza senza compromettere la qualità del lavoro?,"Comunico al team i tagli e propongo di rivedere il progetto per adattarci alle nuove risorse disponibili, cercando di mantenere la qualità.","Riorganizzo il piano di lavoro per ottimizzare le risorse rimaste e informo il team delle modifiche, mantenendo la concentrazione sugli obiettivi principali.","Informo il team in maniera trasparente del taglio delle risorse, esprimendo disappunto, ma promettendo comunque il massimo impegno, metto però in conto che il lavoro non potrà avere la stessa qualità.",,,Situazionali,true,B,A,C,2026-05-15 21:10:33.313064,false,
